lexeme,type,definition_line_num,argument_offset,current_offset,return_type,no_of_arguments
A, CLASS, 1, -16, 16, A, -
__init__, CLASS_METHOD, 2, -40, 0, NONE, -
self, A, 2, -16, -, -, -
y, INT, 2, -24, -, -, -
z, BOOL, 2, -28, -, -, -
name, STR, 2, -32, -, -, -
y, INT, 3, 4, -, -, -
z, BOOL, 4, 8, -, -, -
name, STR, 5, 16, -, -, -
set_y, CLASS_METHOD, 8, -28, 0, NONE, -
self, A, 8, -16, -, -, -
y, INT, 8, -24, -, -, -
set_z, CLASS_METHOD, 11, -28, 0, NONE, -
self, A, 11, -16, -, -, -
z, BOOL, 11, -24, -, -, -
set_name, CLASS_METHOD, 14, -32, 0, NONE, -
self, A, 14, -16, -, -, -
name, STR, 14, -24, -, -, -
get_y, CLASS_METHOD, 18, -24, 0, INT, -
self, A, 18, -16, -, -, -
get_z, CLASS_METHOD, 21, -24, 0, BOOL, -
self, A, 21, -16, -, -, -
get_name, CLASS_METHOD, 24, -24, 0, STR, -
self, A, 24, -16, -, -, -
print_y, CLASS_METHOD, 28, -24, 0, NONE, -
self, A, 28, -16, -, -, -
print_z, CLASS_METHOD, 31, -24, 0, NONE, -
self, A, 31, -16, -, -, -
print_name, CLASS_METHOD, 34, -24, 0, NONE, -
self, A, 34, -16, -, -, -
print_all, CLASS_METHOD, 37, -24, 0, NONE, -
self, A, 37, -16, -, -, -
print_obj, FUNCTION, 42, -24, 16, NONE, -
obj, A, 42, -16, -, -, -
y, INT, 48, 4, -, -, -
z, BOOL, 49, 8, -, -, -
name, STR, 50, 16, -, -, -
main, FUNCTION, 60, -16, 24, NONE, -
y, INT, 61, 4, -, -, -
z, BOOL, 62, 8, -, -, -
name, STR, 63, 16, -, -, -
obj, A, 65, 24, -, -, -
